language,source_id,toxic,detox,afrihate_label,judge_decision,human_decision,human_comments,edited_detox
isiXhosa,train_isixhosa_01815,lontombazane from uyangthanda na uzitholele isilambi somuntu vele,Lontombazane uyamthanda na? Uzitholele umntu nje.,Abuse,accepted,,,
isiXhosa,train_isixhosa_01402,@USER uzalithini iqaba laku qobo qobo😂,@USER Uza kuthini umntu wakho weqiniso? 😂,Abuse,accepted,,,
isiXhosa,train_isixhosa_00412,yeh mdidi umfundisi uthi uzanini enkozweni? URL,yeh umfundisi uthi uzanini enkonzweni? URL,Abuse,accepted,,,
isiXhosa,train_isixhosa_02494,uyasazi isidenge? nguwe tamkhulu URL,uyazi ukuba udidekile? nguwe tamkhulu URL,Abuse,accepted,,,
isiXhosa,train_isixhosa_00972,yoh hayi sihambe simithela isidenge ke kodwa .,yoh hayi sihambe sisenza izenzo ezingenangqondo ke kodwa.,Abuse,accepted,,,
isiXhosa,test_isixhosa_00123,"ek'seni kanje seni thetha ikaka, chill lutho lay'khaya.","ek'seni kanje seni thetha izinto, chill lutho lay'khaya.",Abuse,accepted,,,
isiXhosa,train_isixhosa_00101,@USER ngeloxesha nguye igqwirha. yhehake!,@USER ngeloxesha nguye umntu onemilingo. yhehake!,Abuse,accepted,,,
isiXhosa,train_isixhosa_02646,uyanuka phu ! URL,"Kukho ivumba, phu!",Abuse,accepted,,,
isiXhosa,train_isixhosa_01948,azifunwa ke ikaka ezingajoliyo 😂😂😂,Azifunwa ke abantu abangajoliyo 😂😂😂,Abuse,accepted,,,
isiXhosa,train_isixhosa_00335,"@USER wathi kimi ""msunu kanyoko"" azange ngikholwe. URL","@USER wathi kimi ""uyandikhathaza"" azange ngikholwe.",Abuse,accepted,,,
isiXhosa,train_isixhosa_00493,heeeeeeee wavela umthakathi sembonile mulimisi#muvhango,heeeeeeee wavela umntu onezinto ezingaqhelekanga sembonile mulimisi#muvhango,Abuse,accepted,,,
isiXhosa,dev_isixhosa_00495,uzimpundu ezimdaka wena. URL,Kubonakala ungcolile wena.,Abuse,accepted,,,
isiXhosa,train_isixhosa_00824,@USER 😂🤣🤣🤣 kuhlupha lana ukuba iqaba,@USER 😂🤣🤣🤣 kuhlupha lana ukuba ayinangqondo,Abuse,accepted,,,
isiXhosa,train_isixhosa_01218,"ndifuna lona mna, isidudla sase goli 😘 #datemyfamily URL","Ndifuna lona mna, isithandwa saseGoli 😘 #datemyfamily URL",Hate,accepted,,,
isiXhosa,train_isixhosa_00248,alitshisi lunuka ikaka ecape town..,Kunuka kabi eCape Town.,Abuse,accepted,,,
isiXhosa,train_isixhosa_01260,@USER umthakathi wendaba 🖐️😅🖐️🤣,@USER umxoxi wendaba 🖐️😅🖐️🤣,Abuse,accepted,,,
isiXhosa,dev_isixhosa_00128,ngumnqundu lo ref. wenza incanca kanyoko wakhe ngok. ngumsunu qha ke! 👹,Lo ref ubukeka enecala; wenza izinto ezikhetha umntu wakhe. Akulunganga oko.,Abuse,accepted,,,
isiXhosa,dev_isixhosa_00045,"ayika zalwa inkazana enondixelela mandithini nge mali yam ,tyini thiza #lrt",Akufuneki ukuba inkazana indixelele ndenze ntoni ngemali yam #lrt,Abuse,accepted,,,
Yorùbá,train_yoruba_01273,"""gbogbo yin ti ya werey URL",gbogbo yin ti huwa buburu,Abuse,accepted,,,
Yorùbá,dev_yoruba_00202,ó fi omi abíyá nu wèrè lójú,ó fi omi abíyá nu ẹni tí ó ní ìṣòro ọpọlọ lójú,Abuse,accepted,,,
Yorùbá,train_yoruba_03404,"""olofo lo n binu ologo. #k1liveinconcert #k1llveinconcert URL",Eni ti ko tii ni aseyori lo n binu ologo. #k1liveinconcert #k1llveinconcert,Abuse,accepted,,,
Yorùbá,train_yoruba_03319,"""imole ati egbe pdp ma lule ni osun ni ojo saturday 😆😆😆😆""",imole ati egbe pdp ko ni segun ni osun ni ojo saturday,Hate,accepted,,,
Yorùbá,dev_yoruba_00374,"""eranko like proper eranko lo mo elomi ninu yin""",Díẹ̀ ninu yín nílò kí ìwà yín dara síi gan-an.,Abuse,accepted,,,
Yorùbá,train_yoruba_00671,"""@USER oloriburuku ni bobo yen sha""",@USER bobo yen nilo lati dara sii sha,Abuse,accepted,,,
Yorùbá,test_yoruba_00137,"""gbogbo yin ti ya werey papo😂😂 URL",gbogbo yin ti huwa ni ona to nilo itunse papo 😂😂 URL,Abuse,accepted,,,
Yorùbá,train_yoruba_01744,"""@USER oriwon ti buru se!!""",@USER Ìrònú wọn ti nílò ìtúnṣe!!,Abuse,accepted,,,
Yorùbá,train_yoruba_02920,Awon Clown gbogbo.,Gbogbo wọn nílò ìtúnṣe díẹ̀.,Abuse,accepted,,,
Yorùbá,train_yoruba_01020,ǹ jẹ́ tí gbọ́ sọ pé ẹṣin inú ìwé lásánlàsàn ni yín ṣé lòótọ́ ni òkóbó ni yín,"ǹ jẹ́ tí gbọ́ sọ pé ẹṣin inú ìwé lásánlàsàn ni yín, ṣé lòótọ́ ni pé ẹ ní aìlera ọkùnrin?",Abuse,accepted,,,
Yorùbá,train_yoruba_01824,"""ẹranko ẹhànnà ní àwọn ẹlòmíì.""",Ìwà búburú wà nínú àwọn ẹlòmíì.,Abuse,accepted,,,
Yorùbá,dev_yoruba_00376,"""@USER oloriburuku ni won, over sabi they kill them.""","@USER won nilo lati dara sii, over sabi ma n ba won je.",Abuse,accepted,,,
Yorùbá,train_yoruba_02347,"""oko tidun mo werey lobo...omo ale URL",oko tidun mo eni yen lobo...iwa re nilo atunse URL,Abuse,accepted,,,
Yorùbá,test_yoruba_00472,"""ólófó lò binù òlògò""",Enìyàn aláìsùúrù ló bínú sí ẹni aláìmọ̀kan.,Abuse,accepted,,,
Yorùbá,train_yoruba_00555,"""@USER oh sorry, aunty se olodo niyin ni ma? 🏃🏼‍♂️🏃🏼‍♂️🏃🏼‍♂️""","@USER oh sorry, aunty se e nilo lati ko eko sii ni, ma? 🏃🏼‍♂️🏃🏼‍♂️🏃🏼‍♂️",Abuse,accepted,,,
Yorùbá,train_yoruba_01886,"""@USER high speed train, òmakè ga ò!!! in naija these òlòribùrùkù are reducing train speed because of stray cattles.""","@USER high speed train, òmakè ga ò!!! in naija these people are reducing train speed because of stray cattles.",Abuse,accepted,,,
Yorùbá,dev_yoruba_00714,ọmọdé kékeré ni ọjọ́ orí rẹ̀ ò lè ju ọdún mẹ́wàá sí méjìà lọ wèrè ni mo rí i lẹ́bàáa títì ńgbàa mo rè é ra sèré mo kó àánú rẹ̀,ọmọdé kékeré ni ọjọ́ orí rẹ̀ ò lè ju ọdún mẹ́wàá sí méjìà lọ aláìlera ọkàn ni mo rí i lẹ́bàáa títì ńgbàa mo rè é ra sèré mo kó àánú rẹ̀,Abuse,accepted,,,
Yorùbá,train_yoruba_03253,"""awon oloshi lo po ju lori app yii men....👌""",awon eniyan ti ko ni iwa rere lo po ju lori app yii men....👌,Abuse,accepted,,,
Yorùbá,train_yoruba_00366,"""@USER olódò ràbàtà""",@USER o nílò láti kọ́ ẹ̀kọ́ síi.,Abuse,accepted,,,
Yorùbá,dev_yoruba_00516,"""@USER ori eleyi to buru bayi o""",@USER ero re ti buru bayi o,Abuse,accepted,,,
Yorùbá,test_yoruba_00023,"""oniranu omo lo poju ninu yin 😎😎😎😎""",omo ti ko ni iwa rere lo poju ninu yin 😎😎😎😎,Abuse,accepted,,,
Yorùbá,dev_yoruba_00237,ọoa ta lẹ rí tó lọ sọ́run bọ̀ rí tó dé tó ní báyìí ni wọ́n ń ṣe lọ́run kò sí ṣé a rí ẹni tó lọ tó dé rí tó ní òun kò rí ọ̀run wọ̀ ẹ máà jẹ́ ká tanra wa jẹ nígbà tí kò ti síyẹn èmi ò gba gbogbo èyí táwọn ẹlẹ́sìn méjèèjì ń ṣe yẹn gbọ́ rárá,"Ta ni a ti rí tó lọ sórunbọ̀, tó dé, tó ní báyìí ni wọ́n ń ṣe? Emi ò gbagbọ́ pé ọ̀run wà. Ṣé a ti rí ẹni tó lọ, tó dé, tó ní òun kò rí ọ̀run? Ẹ jẹ́ ká má tan ara wa jẹ nígbà tí kò tí ì sí ẹ̀rí yẹn. Emi ò gba gbogbo èyí táwọn ẹlẹ́sìn méjèèjì ń ṣe yẹn",Hate,accepted,,,
Yorùbá,train_yoruba_02129,"""@USER wa se orire fun reply yi,oloriburuku gidi ni.""","@USER wa se orire fun reply yi, iwa re nilo itunse.",Abuse,accepted,,,
Yorùbá,train_yoruba_02684,"""àwọn ọmọ àlè URL",àwọn ènìyàn tí ìwà wọn burú URL,Abuse,accepted,,,
Yorùbá,train_yoruba_01417,"""@USER abi now. awon eranko jati jati""",@USER abi now. awon eniyan ti iwa won ko daa,Abuse,accepted,,,
Yorùbá,dev_yoruba_00128,"""obìnrin yà werey gidi gan....""",obìnrin hùwà tí kò tọ́ gidi gan....,Hate,accepted,,,
Yorùbá,train_yoruba_01912,"Omo jatijati, rederede",Ìwà rẹ̀ lè dara síi.,Abuse,accepted,,,
Yorùbá,train_yoruba_01386,"""eleribu ni won jor URL",Won nilo lati ko eko sii URL,Abuse,accepted,,,
Yorùbá,dev_yoruba_00040,kùkùté igi àgbọn olódu igi yìí nípọn tó bẹ́ẹ̀ tí àwọn baba wa fi ń kan òrúlé,REVIEW_REQUIRED,Abuse,needs_edit,,,
Yorùbá,dev_yoruba_00369,"""omo ale ni eleyi o URL",Iwa eni yii ko dara o URL,Abuse,accepted,,,
Yorùbá,train_yoruba_00045,ẹnìkan ní irú ìyẹn ò lè ṣiṣẹ́ lékòó wèrè pọ̀ lékòó àwa tá a gbádùn ibẹ̀ ò ju díẹ̀,ẹnìkan ní irú ìyẹn ò lè ṣiṣẹ́ lékòó; ìwà búburú pọ̀ lékòó; àwa tá a gbádùn ibẹ̀ ò ju díẹ̀,Abuse,accepted,,,
Yorùbá,test_yoruba_00155,"""@USER okan oni bale.. oloriburuku ashewo.""",@USER okan oni bale.. iwa re nilo atunse.,Abuse,accepted,,,
isiXhosa,train_isixhosa_00723,lamasimba osendelwa incanca kwi dm isuka phi? hayibo kudala ndinyamezele.,"Ezo zinto endizithunyelwa kwi-DM zisuka phi? Hayibo, kudala ndinyamezele.",Abuse,accepted,,,
isiXhosa,train_isixhosa_02364,@USER yambona kodwa umuntu ka zee? igeza!,"@USER yambona, kodwa ngaba lo ngumntu kaZee? Nceda ahlambuke.",Abuse,accepted,,,
isiXhosa,train_isixhosa_01855,"@USER 🙆🏾‍♂️ bathumele kum ke, khe ndiphoxe isibhanxa","@USER 🙆🏾‍♂️ bathumele kum ke, khe ndiphendule",Abuse,accepted,,,
isiXhosa,train_isixhosa_00144,@USER lol kuzalwa igeza kanti. 🤣🎂🎊🎉,@USER lol kuzalwa ke. 🤣🎂🎊🎉,Abuse,accepted,,,
isiXhosa,train_isixhosa_01248,ubusowubuzile kula cherry yakho okanye uqhela thina ikaka? URL,Ngaba uxakekile nge-cherry yakho okanye uqhelile kuthi?,Abuse,accepted,,,
isiXhosa,dev_isixhosa_00286,isifebe ngumntu onyolukileyo ongoneliyo liqabane elinye💅,Ubonakala engoneliyo ngokuba neqabane elinye💅,Abuse,accepted,,,
isiXhosa,train_isixhosa_01407,yoooo he is isidenge why did he tell you about our culture anyway akufanele ndithethe ngento zase suthwini URL,yoooo he is confused why did he tell you about our culture anyway akufanele ndithethe ngento zase suthwini URL,Abuse,accepted,,,
isiXhosa,train_isixhosa_02059,ndiqhelwa ikaka hay nje kancinci.,ndiqhelwa into embi hay nje kancinci.,Abuse,accepted,,,
isiXhosa,test_isixhosa_00027,@USER zogulisa iinduna zethu wena mgodoyi kutheni ungayohlala kwakho or uyobabusy kule mortuary yakho etonoreraaaaa kamnandi didi..,@USER uyenza iinduna zethu zigule; kutheni ungaqhubeki uhlale kwakho okanye uye usebenzela kwimortuary yakho?,Abuse,accepted,,,
isiXhosa,train_isixhosa_02548,@USER iphixiphixi le friend,Le friend iyandikhathaza,Abuse,accepted,,,
isiXhosa,dev_isixhosa_00179,unayo kodwa indawo engathi uleli lidlala ngezulu igqwirha lowa...hence ingandothusi la-tweet.,"Unayo, kodwa kukho indawo engathi eli lizwe lidlala ngezulu, lo mntu... ngoko ke, ungandothusi ngale tweet.",Abuse,accepted,,,
isiXhosa,dev_isixhosa_00561,@USER labuya ihule lam 🥺,@USER labuya sithandwa sam 🥺,Abuse,accepted,,,
isiXhosa,test_isixhosa_00372,nina apha ningayiphika kaka apha for irt's kodwa ikaka iyabonakala ba gca yikaka😂😂😂,nina apha ningayiphika apha for irt's kodwa into iyabonakala 😂😂😂,Abuse,accepted,,,
isiXhosa,train_isixhosa_02109,ubutywala buyakwazi ukwenza ubembi... kutsho isibhanxa endingasazi nosazi.,Ubutywala bunokwenza umntu enze izinto ezimbi... njengomntu ophuzileyo endingamazi.,Abuse,accepted,,,
isiXhosa,dev_isixhosa_00521,kulapho ke mna ndithi umnqundu wabo. simple! URL,kulapho ke mna ndithi ingxaki yabo. simple!,Abuse,accepted,,,
isiXhosa,train_isixhosa_00137,@USER yeka ubhala ngendaba zomama qha wena zinintsi izinto ezitshisa ibunzi zamadoda. phuma mgodoyi,Yeka ubhala ngendaba zomama; qha wena uhlala ubhala izinto ezibangela iingxaki kumadoda. Ndicela usuke.,Abuse,accepted,,,
isiXhosa,train_isixhosa_02068,🙏mayibanjwe injakazi engenambheko izodibana nontaga bayo pha etrongweni. URL,🙏mabanjwe umntu onetyala aze adibane nomahluleli wakhe etrongweni. URL,Hate,accepted,,,
isiXhosa,test_isixhosa_00392,"@USER yiyo lento enqwakuza ukanye,ihagu itya itriffle",Yiyo lento endixhalabisayo kancinci; uziphatha kakubi xa etya itriffle.,Abuse,accepted,,,
isiXhosa,train_isixhosa_01815,lontombazane from uyangthanda na uzitholele isilambi somuntu vele,"Lontombazane, uyamthanda na? Uzitholele umntu ongakhathaleliyo vele.",Abuse,accepted,,,
isiXhosa,train_isixhosa_00069,unontsikelelo igqwirha elamgqibayo listrongo... URL,"unontsikelelo, umntu olomeleleyo...",Abuse,accepted,,,
isiXhosa,train_isixhosa_02494,uyasazi isidenge? nguwe tamkhulu URL,Uyazi ukuba udidekile? nguwe tamkhulu URL,Abuse,accepted,,,
isiXhosa,train_isixhosa_00972,yoh hayi sihambe simithela isidenge ke kodwa .,yoh hayi sihambe sisenza izinto ezingenangqondo ke kodwa.,Abuse,accepted,,,
isiXhosa,test_isixhosa_00123,"ek'seni kanje seni thetha ikaka, chill lutho lay'khaya.","Ekuseni kanje uthetha izinto ezingacacanga, phumla, akukho nto ekhaya.",Abuse,accepted,,,
isiXhosa,train_isixhosa_00101,@USER ngeloxesha nguye igqwirha. yhehake!,Ngeloxesha ubonakala engaqhelekanga.,Abuse,accepted,,,
isiXhosa,test_isixhosa_00247,@USER akawudluli lo mgodoyi 😂😂 URL,@USER akawudluli lo mntu 😂😂 URL,Abuse,accepted,,,
isiXhosa,dev_isixhosa_00118,and angathushuka lapho emfuleni ngoba naye umthakathi bae ave ehlupha URL,Akafanele athushuke emfuleni ngoba naye wayehlupha abantu.,Abuse,accepted,,,
isiXhosa,train_isixhosa_00383,@USER asisthandi isidudla esijimayo 😭😭,Asithandi umntu ohlala ekhala 😭😭,Hate,accepted,,,
isiXhosa,train_isixhosa_01264,ikaka zisela zilahleke 😭,REVIEW_REQUIRED,Abuse,needs_edit,,,
isiXhosa,train_isixhosa_02415,#highschoolfacts 1)isela 2)isifebe sakhona 3)3 best friends 4)amajitha ahlala eneat 5)ilo ohlala efunda bt akawatholi ama marks aphezulu,#highschoolfacts 1) umntu othanda ukusela 2) kukho umntu onobudlelwane obuninzi 3) abahlobo abathathu abasondeleyo 4) amakhwenkwe ahlala edla 5) umntu ohlala efunda kodwa akafumani amanqaku aphezulu,Abuse,accepted,,,
isiXhosa,train_isixhosa_01948,azifunwa ke ikaka ezingajoliyo 😂😂😂,azifunwa ke abantu ezingajoliyo 😂😂😂,Abuse,accepted,,,
isiXhosa,train_isixhosa_00335,"@USER wathi kimi ""msunu kanyoko"" azange ngikholwe. URL","@USER wathi kimi ""amagama angalunganga"" azange ngikholwe. URL",Abuse,accepted,,,
isiXhosa,train_isixhosa_00493,heeeeeeee wavela umthakathi sembonile mulimisi#muvhango,heeeeeeee wavela umntu sembonile mulimisi#muvhango,Abuse,accepted,,,
isiXhosa,dev_isixhosa_00495,uzimpundu ezimdaka wena. URL,Andiyithandi indlela oziphatha ngayo.,Abuse,accepted,,,
isiXhosa,train_isixhosa_00824,@USER 😂🤣🤣🤣 kuhlupha lana ukuba iqaba,@USER 😂🤣🤣🤣 kuhlupha lana ukuba akakhathaleli,Abuse,accepted,,,
isiXhosa,train_isixhosa_00635,umthakathi uyabukwa nje akenziwa lutho! nkosi isithanda sonke! URL,"umntu osolwa ngomthakathi uyabukwa nje, akenziwa lutho! nkosi isithanda sonke!",Abuse,accepted,,,
isiXhosa,train_isixhosa_00515,waze wanuka kabi umuntu akanuki ikwapha kodwa uyanuka nje,"Kwase kunuka kakhulu; umntu wayengakabi nuka, kodwa ngoku unuka.",Abuse,accepted,,,
isiXhosa,train_isixhosa_01260,@USER umthakathi wendaba 🖐️😅🖐️🤣,@USER umthandi wezindaba 🖐️😅🖐️🤣,Abuse,accepted,,,
Yorùbá,train_yoruba_01816,"""eleribu ni eleyi o URL",Eleyi nilo lati dara sii o URL,Abuse,accepted,,,
Yorùbá,dev_yoruba_00041,"""awon eleyi ti ya werey 🤣🤣🤣 URL",awon eleyi ti ko ro o daadaa 🤣🤣🤣 URL,Abuse,accepted,,,
Yorùbá,train_yoruba_01650,"""olofo ma ni eleyi keee 🤣🤣🤣 URL",alarinkaroyin ni eleyi keee 🤣🤣🤣,Abuse,accepted,,,
Yorùbá,train_yoruba_01708,"""olofo wò ni eleyi? URL",Alaroye wo ni eleyi? URL,Abuse,accepted,,,
Yorùbá,train_yoruba_00131,"""@username awon weyrey fé fí edekede bà ti wá jé... obirin eleyii yawerey gaan""",@username awon kan fé fí edekede bà ti wá jé... obirin eleyii kò ronu dáadáa,Abuse,accepted,,,
Yorùbá,dev_yoruba_00069,olódo mò ń gbádùnun rẹ bí ṣe ń gbádùnun jẹ́ ó wà bẹ́ẹ̀,"Ìwọ nílò láti kọ́ ẹ̀kọ́ síi, mo ń gbádùn rẹ bí o ṣe ń gbádùn jẹ́, ó wà bẹ́ẹ̀.",Abuse,accepted,,,
Yorùbá,train_yoruba_03020,alákọrí oníjìbìtì kan tún fẹ́ jí àwọn olóore lówó nípasẹ̀ ọ̀rọ̀ yìí njẹ́ ẹ ò ríi pé ẹ̀dá míràn kanlẹ̀ ya ìkà aláìbìkítà ni,oníjìbìtì kan tún fẹ́ jí àwọn olóore lówó nípasẹ̀ ọ̀rọ̀ yìí njẹ́ ẹ ò ríi pé ẹ̀dá aláìbíkítà ni,Abuse,accepted,,,
Yorùbá,train_yoruba_00383,"""@username level oribu òfo wo nìyẹn?""","""@username level àṣìṣe wo nìyẹn?""",Abuse,accepted,,,
Yorùbá,train_yoruba_03376,no àwọn òmùgọ̀ tí wọn ró pé àwọn gbọ́n,no àwọn tí kò tíì ní ìmọ̀ tí wọn rò pé wọn gbọ́n,Abuse,accepted,,,
Yorùbá,train_yoruba_02129,"""@username wa se orire fun reply yi,oloriburuku gidi ni.""","@username wa se orire fun reply yi, idahun re nilo itunse die.",Abuse,accepted,,,
Yorùbá,train_yoruba_03428,"""ori eleyi ma ti daru.. URL",ero eleyi le ti daru..,Abuse,accepted,,,
Yorùbá,train_yoruba_03255,"""@username omo ale jati jati...kini buruku rounroun,enu bi age aluwala.""","@username iwa re ko daa rara...kini yii gangan, enu re nilo itunse.",Abuse,accepted,,,
Yorùbá,dev_yoruba_00306,"""@username man utd je ìkíni olule, o je ìkejì olule, o jẹ iketa olule, o jẹ ekerin olule, emi lo kan, e mi iya yi kan #mcimun""","@username Man Utd ti padanu lẹ́ẹ̀kan, o ti padanu lẹ́ẹ̀mejì, o ti padanu lẹ́ẹ̀mẹ́ta, o ti padanu lẹ́ẹ̀rin, emi lo kan, ìyà yìí kan mi #mcimun",Abuse,accepted,,,
Yorùbá,dev_yoruba_00171,"""@username oro werey...oro ofo""",@username oro ti ko da lori...oro ti ko ni itumo,Abuse,accepted,,,
Yorùbá,train_yoruba_01101,"""oloriburuku ni é, aburo oloshi URL","Ìwà rẹ̀ nílò ìtúnṣe, àbúrò URL",Abuse,accepted,,,
Yorùbá,train_yoruba_02733,"""omo ale ni bobo arturo yi""",bobo arturo yi nilo atunse,Abuse,accepted,,,
Yorùbá,train_yoruba_01525,"""awon qatar eleyi gan, katakata lo n se o""","awon qatar eleyi gan, isoro lo n sele o",Abuse,accepted,,,
Yorùbá,dev_yoruba_00037,"""@username eleyi ma ti ya were""",@username eleyi ma ti koja aala,Abuse,accepted,,,
Yorùbá,train_yoruba_03427,ìdílé oníṣekúṣe oníṣìnà aláṣẹ́wó ni ka ìdílé obìnrin tí ìlù eré alẹ́ ọjọ́ ìgbeyàwó rẹ̀ bá ti ya ká tó ṣeré,ìdílé tí ìwà wọn nílò ìtúnṣe ni ka ìdílé obìnrin tí ìlù eré alẹ́ ọjọ́ ìgbeyàwó rẹ̀ bá ti ya ká tó ṣeré,Abuse,accepted,,,
Yorùbá,train_yoruba_01519,gbogbo ẹni ń da ilẹ̀ kiri àdúgbò onídọ̀tí tí n dọ̀tíi èkó ẹ̀yin lọ́ ń bá wí o,"Gbogbo ẹni tí ń da ilẹ̀ kiri àdúgbò, tí ń dọ̀tí Èkó, ẹ̀yin ni a ń bá wí o.",Abuse,accepted,,,
Yorùbá,train_yoruba_00278,nánínánínání ohun a ní là ń nání mọ́ ya ọmọ àlè tí ń fọwọ́ òsì júwe ilée bàbáa rẹ̀,nánínánínání ohun a ní là ń nání mọ́ ya ẹni tí ń fọwọ́ òsì júwe ilée bàbáa rẹ̀,Abuse,accepted,,,
Yorùbá,train_yoruba_03001,"""gbẹ̀nu oshi danu, ọdẹ aki dani dani. URL","Jọwọ dákẹ́, ìwà rẹ̀ nílò ìtúnṣe díẹ̀.",Abuse,accepted,,,
Yorùbá,test_yoruba_00323,toò ẹ máà jẹ́ káwọn èwe yín di olódo ràbàtà nílé ìwé ẹ yá a máa fún wọn láwùsá jẹ kí wọ́n ba lè mọ̀wé bíi kòfẹ́sọ̀,toò ẹ máà jẹ́ káwọn èwe yín di aláìlera nílé ìwé ẹ yá a máa fún wọn láwùsá jẹ kí wọ́n ba lè mọ̀wé bíi kòfẹ́sọ̀,Abuse,accepted,,,
Yorùbá,train_yoruba_02334,"""omo àlè jatijati ni ẹ o URL",Ìwa yín kò dáa o.,Abuse,accepted,,,
Yorùbá,test_yoruba_00023,"""oniranu omo lo poju ninu yin 😎😎😎😎""",iwa ti ko dara lo poju ninu yin 😎😎😎😎,Abuse,accepted,,,
Yorùbá,test_yoruba_00274,ọgbọ́n inú ọlọ́gbọ́n ni ọlọ́gbọ́n fi ńjẹun aṣièrè èèyàn kò mọ ìmọ̀ràn araa rẹ̀ẹ́ gbà a díá fún ọ̀rúnmìlà,ọgbọ́n inú ọlọ́gbọ́n ni ọlọ́gbọ́n fi ńjẹun ènìyàn tí kò ní ọgbọ́n kò mọ ìmọ̀ràn araa rẹ̀ẹ́ gbà a díá fún ọ̀rúnmìlà,Abuse,accepted,,,
Yorùbá,dev_yoruba_00275,"""maṣe dibo fun awọn ole. eniyan ti o kan le gba owo lati ijoba lati ṣiṣe owo ebi. jọwọ maṣe dibo fun ole URL",maṣe dibo fun awọn oniwa ibaje. eniyan ti o kan le gba owo lati ijoba lati ṣiṣe owo ebi. jọwọ maṣe dibo fun oniwa ibaje URL,Abuse,accepted,,,
Yorùbá,train_yoruba_03174,ìwọ tí wọ́n pè ní tí o sì ń jẹ́ o ní láti lọ wẹ orí ẹ aboajá ló ń jẹ́ bẹ́ẹ̀ ọ̀rọ̀ èébú sì ni lo wo ibi tí ti ṣẹ̀ wá,"Ìwọ, o nílò láti tún rò; ọ̀rọ̀ tí o ń sọ jẹ́ èébú. Lọ wo ibí tí ìṣòro ti bẹ̀rẹ̀ wá.",Abuse,accepted,,,
Yorùbá,dev_yoruba_00071,bẹ́ ẹ bá wá rí ọ̀kọlà ẹ má mà mà bu ẹ má pè é lójú ẹlẹ́gba ẹ má fi rẹ́ẹ̀rín àṣà ilẹ̀ẹ wa ìgbaanì ló ńgbé lárugẹ,"Bí ẹ bá rí ẹni tó ní ilà lórí, ẹ má bu ú, ẹ má pè é ní orúkọ ìnira, ẹ má fi í rẹ́rìn; àṣà ilẹ̀ wa ìgbàànì ló ń gbé lárugẹ.",Abuse,accepted,,,
Yorùbá,train_yoruba_00302,"""@username oloriburuku ni awon ppl yi seh 💔""",@username iwa awon ppl yi ko dara seh 💔,Abuse,accepted,,,
Yorùbá,train_yoruba_00884,"""@username ómò ale jati jati ni won""",@username ẹni tí ó nílò ìtúnṣe ni wọ́n,Abuse,accepted,,,
Yorùbá,train_yoruba_03071,Ahhh... O kuku gbo ede Yoruba... O ti lule,Ahhh... O gbo ede Yoruba... Ko lo bi o ti fe,Abuse,accepted,,,
Yorùbá,train_yoruba_03067,"""to all whom it may concern, ori yin ti daru😡""","to all whom it may concern, ẹ̀rò yín nílò ìtúnṣe díẹ̀",Abuse,accepted,,,
Yorùbá,train_yoruba_00949,"""@username awon eleyi buru""",@username awon eleyi le dara sii,Abuse,accepted,,,
Yorùbá,train_yoruba_00189,"""ko de ni wa ragba fún e to fi handle werey tweet radarada yii URL",Ko de ni wa agba fun e to fi handle yii tweet oro ti ko peye yii,Abuse,accepted,,,
Yorùbá,train_yoruba_01992,bí a bá wí tàì wí nípa nínífẹ̀ sí àṣà yorùbá àwọn aláìmọ̀kànmọ̀kan wọ́n á máa ní abọ̀rìṣà ni babaláwo ni ó ṣe,"bí a bá wí tàì wí nípa nínífẹ̀ sí àṣà yorùbá, àwọn tí kò ye e dáadáa wọ́n á máa ní abọ̀rìṣà ni babaláwo ni ó ṣe",Abuse,accepted,,,
Yorùbá,train_yoruba_01974,"""some fools were doing stunts with their scissor-doors car. awon oniranu. URL",some people were doing stunts with their scissor-doors car. awon eniyan. URL,Abuse,accepted,,,
Yorùbá,train_yoruba_02791,"""eranko ni bobo yen. 😂 URL",ihuwasi bobo yen ko daa. 😂 URL,Abuse,accepted,,,
Yorùbá,train_yoruba_03184,"""ori e ti jaamu afofun gbemu, omo ale URL","ori e nilo atunse, URL",Abuse,accepted,,,
Yorùbá,train_yoruba_00193,"""omo ale lo ma gbe iya é wa sori twitter fun drags!""",ko bo ye ki o gbe iya e wa sori twitter fun drags!,Abuse,accepted,,,
Yorùbá,dev_yoruba_00644,"""@username awon iran baba e ni omo ale, o de ni kure… iwo oloriburuku omo iran kiran, adojutini omo lawujo… o ni sorire !""",@username Ìwa rẹ̀ kò dáa… ìwọ ń hùwà adojútini ní awujọ… ṣe àtúnṣe.,Abuse,accepted,,,
Yorùbá,train_yoruba_01478,"""@username ahh, eleyi ti shi oro só""","@username ahh, eleyi ti di oran",Abuse,accepted,,,
Yorùbá,test_yoruba_00071,"""@username oloriburuku ni bàbá rẹ̀""",Bàbá rẹ̀ lè dara síi.,Abuse,accepted,,,
Yorùbá,train_yoruba_01827,"""oloshi làwọn eleyi oo URL",Ise awon eleyi ko daa oo URL,Abuse,accepted,,,
Yorùbá,train_yoruba_02552,"""@username eti ya wèrèy""",@username Ìwa rẹ nílò ìtúnṣe díẹ̀.,Abuse,accepted,,,
Yorùbá,train_yoruba_01608,"""@username olodo rabata oju eja lo man je 😂😂😂""",@username O nílò lati kọ́ ẹ̀kọ́ síi; àbájáde rẹ kì í dáa.,Abuse,accepted,,,
