pair_id,toxic_input,detox_output,prediction,steering_strength
11,ምነው የሚሳሳት አፍህን ብትዘጋው ኖሮ ፡፡ ግን አልቻላችሁም ፣ አልቻላችሁም ፣ እናም አሁን ዋጋ ስትከፍሉ ነው ደደብ ደደብ። በአንተ ላይ ቁ,ምነው ወይ ዝም ብትል ፡፡ግን አልቻላችሁም ፤ በዚህም ዋጋ ልትከፍሉ ነው,ምነው አፍህን ብትዘጋው ኖሮ ፡፡ ግን አልቻላችሁም ፣ አልቻላችሁም ፣ እናም አሁን ዋጋ ስትከፍሉ ነው ፡፡ በአንተ ላይ ቁ,1.0
12,ምድረ ደነዝ ሁሉ ጭንቅላቱ ሲጠብ ጭንቅላት ያላቸውን ሰዎች መደብደብ ያው ዝቅተኛነታቸውን ያሳያል:: ይኸው ነው የነታከለ ኡማና ሽመልስ ማፊያ ማደራጀት::,መሰብ አይችሉም  ሰዎች መደብደብ ያው የበታችነት ስሜት እንደ ሚሰማቸው ያሳያል::,ምድረ ሰው ሁሉ ጭንቅላቱ ሲጠብ ጭንቅላት ያላቸውን ሰዎች መደብደብ ያው ዝቅተኛነታቸውን ያሳያል:: ይኸው ነው የነታከለ ኡማና ሽመልስ ማፊያ ማደራጀት::,1.0
13,ሰማ አንተ ደደብ ሰው መተከልን እንዳስጨረስክ አትቀርም ዋጋህን እሰጣሀለሁ,አንተ እማታስብ  መተከልን እንዲህ እንዳመስካት አትቀርም  ዋጋ ትከፍላለህ,መተከልን እንዳስጨረስክ አትቀርም ዋጋህን እሰጣሀለሁ,1.0
14,ሲፈርስ ለምን ማስቆም አልቻለም አላልኩም ግን ሀውልቱ ወደ ቦታው አለመመለሱ ግን የሱ ፍላጎት ነው . ሰሞኑንማ የጤና ያርግልህ ????,ሲፈርስ ለምን ማስቆም አልቻለም አላልኩም ግን ሀውልቱ ወደ ቦታው አለመመለሱ ግን የሱ ፍላጎት ነው,ግን ሀውልቱ ወደ ቦታው አለመመለሱ ግን የሱ ፍላጎት ነው . ሰሞኑንማ የጤና ያርግልህ ????,1.0
15,ሳዳምን ከአይጥ ጉድጓድ አውጥተው ካስፈረዱበት አንዱ ነኝ አንተንም አገኝሃለሁ አንተ ውሻ የውሻ ልጅ,ሳዳምን ከአይጥ ጉድጓድ አውጥተው ካስፈረዱበት አንዱ ነኝ የጊዜ ጉደይ ነው,ሳዳምን ከአይጥ ጉድጓድ አውጥተው ካስፈረዱበት አንዱ ነኝ አንተንም አገኝሃለሁ,1.0
16,ሺ መጋረጃዎችን ብትጠቀም እውነትን አቀብራትም። ውሻ።,ብዙ ምክንያቶችን ብታስቀምጥም እውነት እውነት ናት።,መጋረጃዎችን ብትጠቀም እውነትን አቀብራትም።,1.0
17,ቀበሌን ቀበሌ ቆማጣን ቆማጣ ስተለው ለምንድን ነው የሚከፋው?? ደሞ ከባድ የቀበሌ ዋጋ ምንድን ነው?? ዘይት መስረቅ ነው,ነገሮችን በስማቸው መጥራት ለምንድነው ቅሬታ የሚፈጥረው፤ ከባድ የሆነው የቀበሌ ዋጋስ ምንድነው ;,ቀበሌን ቀበሌ ቆማጣን ስተለው ለምንድን ነው የሚከፋው?? ደሞ ከባድ የቀበሌ ዋጋ ምንድን ነው??,1.0
18,በሁለት ቀን ልዩነት የተለያየ ነገር መናገሩ ልያስገርመን አይገባም.ከመሀይምነቱ የተነሳ በአንድ አረፍተ ነገር ላይ ሁሉት ተቃራኒ ነገሮችን ይናገራ . ጌታቸው ረዳ በTMH,በሁለት ቀን ልዩነት የተለያየ ነገር መናገሩ ልያስገርመን አይገባም.ከለመወቁ የተነሳ በአንድ አረፍተ ነገር ላይ ሁሉት ተቃራኒ ነገሮችን ይናገራ,በሁለት ቀን ልዩነት የተለያየ ነገር መናገሩ ልያስገርመን አይገባም.ከመሀይምነቱ የተነሳ በአንድ አረፍተ ነገር ላይ ሁሉት ተቃራኒ ነገሮችን ይናገራ .,1.0
19,በመንጋዊ ስሜት ሆ  ማለት : ምን ይዞ እየመጣ እንደሆነ እያየነው ነው። ብቻ መጨረሻው ያሳምረው,በህብረት ና  በስሜት መውትጣት  : ምን ይዞ እየመጣ እንደሆነ እያየነው ነው። ብቻ መጨረሻው ያሳምረው,ምን ይዞ እየመጣ እንደሆነ እያየነው ነው። ብቻ መጨረሻው ያሳምረው,1.0
20,በኢትዮጵያን አባባል በጣም ደደብ እና ውሸታም ነህ።,በኢትዮጵያን አባባል መልካም ሰው አይደለኸም፡፡,በኢትዮጵያን አባባል በጣም ደደብ እና ውሸታም ነህ።,1.0
21,በዘራህዉ ልክ ማጨድህ አይቀርም የጊዜ ጉዳይ እንጅ,በጊዜ ሂደት ማንም ለሰራው በደል መልሱን ማግኘቱ አይቀርም,ልክ አነሳህ አይቀርም የጊዜ ጉዳይ እንጅ,1.0
22,ብሌን ይሄ ሰው የአማራ ፍፁም ጠላት እንደሆነ ብዙ መረጃ አለኝ። He is just useless የምትወጅው ከሆነ ይቅርታ። ፕሮፌሰር አስራት ወልደየስን ያስያዘ እሱ ነ,ብሌን ይሄ ሰው ለአማራ ህዝብ ብዙ የሚጠቅም ሀሳብ እንሌለው በመረጃ ጭምር መናገር እችላለሁ፡ ከይቅርታ ጋር,የዛሬው ሰው የአማራ ፍፁም ጠላት እንደሆነ ብዙ መረጃ አለኝ። He is just useless የምትወጅው ከሆነ ይቅርታ። ፕሮፌሰር አስራት ወልደየስን ያስያዘ እሱ ነ,1.0
23,ቦቅቧቃ እንደአንተ አይነቱን ታድዮስ ታንቱ በመድረክ አስነጥሶ ይዘርራል። እዚህ እንዴት እንደደረስክ የካድክ ውለታ ቢስ መሆንህን የሚያሳየ,አንተን ታድዮስ ታንቱ በመድረክ የሀሳብ ፍጭት በደንብ ያሳምናል። ዛሬ ላይ እንዴት እንደደረስክ ሳታምን መምጣትህን,ሰው ከእዚህ የደረስክ ውለታ ቢስ መሆንህን የሚያሳየ,1.0
24,ታዲያ አንተ ተጋሩ ፕጅ ላይ ምን ታደርጋለህ???,ታዲያ አንተ እዚህ ፕጅ ላይ ምን ታደርጋለህ???,አንተ ትግራይ ላይ ምን ታደርጋለህ???,1.0
25,ትግላቹ ገደል ገባ አውሮፓ አሜሪካ አረብ አገር ሆነሽ ነው ምትታገይ ገልቱ,ውጭ ሆኖ የሚደረግ ትግል ውጤታማ አይሆንም፡፡,ትግላቹ ገደል ገባ አውሮፓ አሜሪካ አረብ አገር ሆነሽ ነው ምትታገይ,1.0
26,አማራ ክልል የሚሰበሰበው ባለስልጣን ለምን ይሆን ተላላኪና ንክ የሆነው። አበረ የሚሉት የፓሊስ ኮሚሽነር የቀረው እኮ ክላሽ ይዞ ስቲዲዮ ውስጥ አሳምነው ገዳይ ብሎ መሸለል ነው። ስንት ከብት አለ።,አማራ ክልል ውስጥ ያሉ የመንግስት ሹሞች ችግር ያለባቸው ነው የሚመስለኝ፡፡ የፓሊስ ኮሚሽነሩ ስቲዲዮ ውስጥ  መሸለል የሚቃጣው ነወ የሚመስለው።,አማራ ክልል የሚሰበሰበው ባለስልጣን ለምን ይሆን ተላላኪና ንክ የሆነው። አበረ የሚሉት የፓሊስ ኮሚሽነር የቀረው እኮ ክላሽ ይዞ ስቲዲዮ ውስጥ አሳምነው,1.0
27,አስመሳይ አብይ አሕመድ ትግራይ ለመርዳት እቅድ ኑሮህ አያቅም።,አብይ አሕመድ ትግራይ ለመርዳት ያሰበ አይመስለኝም,ትግራይ ለመርዳት እቅድ ኑሮህ አያቅም።,1.0
28,አብሮ መኖርን አውሪ ጥላቻን አትስበኪ የብዙሐን ሀገር ናት ኢትዮጵያ በጭንቅላት እደጊ,አብሮ መኖርን ነው ማውራት ያለብሽ የብዙሐን ሀገር ናት ኢትዮጵያ,በወገንተኝነት ጥላቻን አትስበኪ የብዙሐን ሀገር ናት ኢትዮጵያ እጅግ ጥላቻን አትስበኪ የብዙሐን ሀገር ናት ኢትዮጵያ በጭንቅላት እደጊ,1.0
29,አብን ውስጤ ነው ብለሽ ነው የዘለልሽው ?? ቀዳዳ አስመሳይ.,የአብን  ደጋፊ ነኝ ብለሽ ነው የዘለልሽው፤ ከልብሽ አይመስልም,አብን ውስጤ ነው ብለሽ ነው የዘለልሽው ??,1.0
30,አብይ ነበልባል የሆነውን የማይጠፋ ፍም እሳት ኢትዮጵያዊነቴ ላይ: ጋዝ ጨመረበት እንጂ: ያው እሳት እሳት ነው?? የፓርላማውሎ Ethioጵia,ውስጤ ያለውን ትልቅ የሀገር መውደድ ስሜት ፤ አብይ የበለጠ አነሳሳው,ኢትዮጵያዊነቴ ላይ: በህግ የቆየውን ኢትዮጵያዊነቱን ፍም እሳት ኢትዮጵያዊነቴ ላይ: ጋዝ ጨመረበት እንጂ: ያው እሳት እሳት ነው?? የፓርላማውሎ Ethioጵia,1.0
31,አንተ የጠንቃይ ልጁ ደም መጣጭ የምት ፈርድ የምታገኝበት ሩቅ ኣይደለም አንተ ዲቃላ,በሰዎች ላይ አትፍረድ ፤ እንዳይፈረድብህ,እነርሱን በህይወት ውስጥ የምትገባው ጠንቃይ ልጁን የምትፈልግበት አይደለም,1.0
32,አንተ ደደብ ጀግንነት ሲቪል ሰው በማጥቃት ነው እንዴ አንተ ማትረባ አጋሰስ,ጀግንነት ሲቪል ሰው ማጥቃት አድርገህ  ነው እንዴ የምታየው ?,ጀግንነት ሲቪል ሰው በማጥቃት ነው እንዴ አንተ ማትረባ አጋሰስ,1.0
33,አንተ ግም እና የገለማህ ነህ ከትግራይ ታቦቱን ተመኝተህ ህዝብና መሬቱን ካድክ ድሮም ባንዳ ብህሪው ነው,የትግራይ ታቦትን እየተመኙ ፤ ህዝብና መሬቱን መርሳት ትክክል አይደለም፡፡,መጀመሪያ የትግራይ ታቦቱን ተመኝተህ ህዝብና መሬቱን ካድክ,1.0
34,አንቺ ምነው እንዲህ ቅጥል አልሽ የሰው ድምጽ ለማፈን ብለሽ ነው ደደብ ሂጅይ እዛ የህወሀት ቡችላ።,አንቺ በዚህ ደረጃ ልትበሳጪ አይገባም ሰውም ድምፁን በነፃነት ማሰማቱ ተገቢ ነው ፡፡,አንቺ ምነው እንዲህ ቅጥል አልሽ የሰው ድምጽ ለማፈን ብለሽ ነው እዛ የህወሀት ቡችላ።,1.0
35,አንች ዲቃላ ሞናሊዛ ላይ የደረሰው ግፍ ባንቺ እና በልጆችሽ ፤በእህትሽ ፤ቤተሰቦችሽ ይድረስሽ ቢያንስ አንቺ ሴት ነሽ ቆሻሻ።,በሞናሊዛ ላይ የደረሰው ግፍ ባንቺ እና ቤተሰቦችሽ ቢደርስስ,ሞናሊዛ ላይ የደረሰው ግፍ ባንቺ እና በልጆችሽ ፤በእህትሽ ፤ቤተሰቦችሽ ይድረስሽ ቢያንስ አንቺ ሴት ነሽ ።,1.0
36,አዎ ምን አባሽ አባትህ አገባህ እንደናንተ የአለም ህዝብ ድንጋይ ራስ መሰላችሁ ለእውነት ይቆማል ድንጋይ ራስ ኮተታም ሁላ,አይመለከታችሁም እንደናንተ የአለም ህዝብ ሁኔታውን የማይረዳ መሰላችሁ ለእውነት ይቆማል የማታስቡ,አዎ ምን አባትህ አገባህ እንደናንተ የአለም ህዝብ ድንጋይ ራስ መሰላችሁ ለእውነት ይቆማል ድንጋይ ራስ ኮተታም ሁላ,1.0
37,አዎ:አንመሰክራለን። ምን ታረገዋለህ:እነ ቴዲ : ሀጫሉ: አሰጌ: እያሉ:ምድረ :የወያኔ:አጫፋሪ:ቤተ መንግስት: ግብዣ:ተጠራ። ይገርማል። Ethiopia,አዎ:አንመሰክራለን። ምን ታረገዋለህ:እነ ቴዲ : ሀጫሉ: አሰጌ: እያሉ:ሁሉም:ደገፊ :ቤተ መንግስት: ግብዣ:ተጠራ።  Ethiopia,አንመሰክራለን። ምን ታረገዋለህ:እነ ቴዲ : ሀጫሉ: አሰጌ: እያሉ:ምድረ :የወያኔ:አጫፋሪ:ቤተ መንግስት: ግብዣ:ተጠራ። ይገርማል። Ethiopia,1.0
38,አይ እስከሚቀጥለው ክሪስትማስ ይቆያል እንጂ ለምን ይነሳል ልበልህ? ዱቄታም??????,አይ እስከሚቀጥለው ክሪስትማስ ይቆያል እንጂ ለምን ይነሳል ልበልህ ?,አይ እስከሚቀጥለው ክሪስትማስ ይቆያል እንጂ ለምን ይነሳል ልበልህ?,1.0
39,አፈር ብይ አሮጊት አንቺ አሁን አምሮብሽ ነው እምታቀሳስሪው ባለጌ ካሃዲ የነዚህ እንባ ይፋረዳችሁ አቺም ብስብስ አሮጊ በዚህ እድሜሽ ወደ ቤተክርስትያን እንጂ,ከአንቺ ይኸ አይጠበቅም ነበር ፤ የነዚህ እንባ ይፋረዳችሁ ፤ አንቺም በዚህ እድሜሽ ወደ ቤተክርስትያን እንጂ,አንቺ አሁን አምሮብሽ ነው እምታቀሳስሪው ካሃዲ የነዚህ እንባ ይፋረዳችሁ አቺም ብስብስ አሮጊ በዚህ እድሜሽ ወደ ቤተክርስትያን እንጂ,1.0
40,ኡዝቤኪስታን እና ታጃኪስታን የሉበትም። ጉራ ብቻ። ምርኮኛ,ኡዝቤኪስታን እና ታጃኪስታን የሉበትም። ምንድነው ብዙ ብዙ ማውራት,ኡዝቤኪስታን እና ታጃኪስታን የሉበትም። ጉራ ብቻ። ምርኮኛ,1.0
41,ኤጭ ዘረኛ ሆንክ አንተም ግን አልታወቀህም መሰለኝ,አንተም ወገንተኛ ሆንክ መሰለኝ ግን አልታወቀህም መሰለኝ,ሆንክ አንተም ግን አልታወቀህም መሰለኝ,1.0
42,እሚያናድደኝ እየተሰራበትን ያለውን ሴራ አለማወቁ ነው። ፍትህ_ለ_ዞላ ??,እሚያናድደኝ እየተሰራበትን ያለውን ድብቅ ስራ አለማወቁ ነው። ፍትህ_ለ_ዞላ ??,ፍትህ_ለ_ዞላ ??,1.0
43,እረ እህቶቼ በዙ ሰዎች.?? ይቺ ፉንጋ እንኳን እንደ ወንድሜ እኮ ነው የማይህ ትበለኝ ??,እረ እህቶቼ በዙ ሰዎች.?? ይቺም እንደ ወንድሜ እኮ ነው የማይህ ትበለኝ ??,ይቺ ሰው እንኳን እንደ ወንድሜ እኮ ነው የማይህ ትበለኝ ??,1.0
44,እናትህ አንተ ጋድሚያ ተነስ ልትበቅል ነው እንዴ ስትል እንደመስማት Blessing የለም ??,እናትህ አንተ ተነስ እንጂ  ልትበቅል ነው እንዴ ስትል እንደመስማት Blessing የለም ??,አንተ ጋድሚያ ተነስ ልትበቅል ነው እንዴ ስትል እንደመስማት Blessing የለም ??,1.0
45,እንተ ደግሞ ጅል ነህ እንደ ገደል ማሚቶ የማታውቀውን ነገር ዝም ብለህ አታስተጋባ,አንተ ደግሞ የዋህ ነህ ፤ የተባለውንና  የማታውቀውን ነገር እንዳለ አትድገምልን,ለሰውህ ራስ ወዳድ ነህ የሚናገረውን ነገር ዝም ብለህ አታስተጋባ,1.0
46,እንደ አንተ አይነቶች ናቸዉ ሀገራችንን እያመሱ ያሉት ደንቆሮች መሀይሞች ጭንቅላታቸው የተመረዘ የጠበበ አንተ ስለሀገር,እናንተ ናችሁ ሀገራችንን እንዲህ ችግር ላይ የምትጥሏት ፤ አርቃችሁ አታስቡ፣ በጎውን ሀሳብ አታመጡ,አንተ ስለሀገር,1.0
47,እዩት እሄን ጅል.አሁን በዚህ ሰአት ማምለክ ይሻላል ወይስ ስሙ ይቀየርልኝ ብሎ ማላዘን ??,እዩት እሄን ሰው.አሁን በዚህ ሰአት መቀበል ይሻላል ወይስ ስሙ ይቀየርልኝ ብሎ መጮህ ??,እዩት እሄን አንተ ወይስ ስሙ ይቀየርልኝ ብሎ ማላዘን ??,1.0
48,ከነዚህ አውሬዎች ጋር የሚኖር አንድነት የለም:: እጣፈንታችን በእጃችን ነው::,ከነዚህ ሰዎች  ጋር የሚኖር አንድነት የለም:: እጣፈንታችን በእጃችን ነው::,ያለመቀለጃና ዝምብሎ የሚኖር አንድነት የለም:: ሰውዬው በእጃችን ነው::,1.0
49,ከናንተ እንካን ጥሩ አንጠብቅም ግን ሰው ከሆንክ ትንሽ ሰብኣዊነት ካለህ ድምጽ እንካን ባትሆነን አፍህ,ካንተ ብዙ ባልጠብቅም ቢያንስ በሰብአዊነት ድምፅ እንኳን መሆን ባትችል ተቃውሞ አያስፈልግም,ከናንተ እንካን ጥሩ አንጠብቅም ግን ሰው ከሆንክ ትንሽ ሰብኣዊነት ካለህ ድምፅ እንካን ባትሆነን አፍህ,1.0
0,Egotistic ብሬንለስ ደደብ ብቻ ነው አገሩን ሚመራው,ለራሱ ብቻ የሚያስብ ነው  አገሩን የሚመራው,ብሬንለስ ብቻ ነው አገሩን ሚመራው,2.0
1,Ethiopia ብሩ ኣብይ ስለሆነ ሳይሆን የኢትዮጵያ ጠ/ሚኒስትር ስለነበረ ነው የተሰጠው ፤ ስለዚ ዓቃቤ ህግም ሊጠይቅ ግድ ይላል ። ካልሆነ ግን በስሙ Official ሌብነት ተብሎ,ብሩ የተሰጠው የኢትዮጵያ ጠ/ሚኒስትር ስለነበረ ነው  ፤ ስለዚ ዓቃቤ ህግም ይህን መጠየቅ ይችላል ።,ኢትዮጵያ ብሩ ኣብይ ስለሆነ ሳይሆን የኢትዮጵያ ጠ/ሚኒስትር ስለነበረ ነው የተሰጠው ፤ ስለዚ ዓቃቤ ህግም ሊጠይቅ ግድ ይላል ። ካልሆነ ግን በስሙ Official ሌብነት ተብሎ,2.0
2,Ethiopia: አይ የገልቱ ነገር። በቃ ሰላምን በጠብመንጃ ልታመጣልን ነዋ። ንግግርና ድርድር እንደጭራቅ በህልምህ እያባረረ ነዉ መችም። በወታደር ብዛት ቢሆን ደርግ እስከዛሬ ይ,Ethiopia:  በቃ ሰላምን በጠብመንጃ ልታመጣልን አትችልም። ንግግርና ድርድር ብቻ ነው ሰለምን የሚያስገኝ። በወታደር ብዛት ቢሆን ደርግ እስከዛሬ ይኖር ነበር,አይ የገልቱ ነገር። በቃ ሰላምን በጠብመንጃ ልታመጣልን ነዋ። በቃ ሰላምን በጠብመንጃ ልታመጣልን ነዋ። ንግግርና ድርድር እንደጭራቅ በህልምህ እየተባረረ ነዉ መችም። በወታደር ብዛት ቢሆን ደርግ እስከዛሬ ይሻላል።,2.0
3,ሀሀሀሀሀ አሉላ እንግሊዘኛ መናገር ጀመረ እንዴ ? ምን አደከመው እዚሁ አሜሪካ ቁጭ ብለን በንግሊዝኛ የምናጥረግርጋትን ሼር አያደርግም እንዴ ? First Amen,አሉላ እንግሊዘኛ መናገር ጀመረ እንዴ ? ምን አደከመው እዚሁ አሜሪካ ቁጭ ብለን በንግሊዝኛ የምናወረዉን ኣያጋረም,እንግሊዘኛ መናገር ጀመረ እንዴ ? ምን አደከመው እዚሁ አሜሪካ ቁጭ ብለን በንግሊዝኛ የምናጥረግርጋትን ሼር አያደርግም እንዴ ?,2.0
4,ለመሆኑ ኢትዮጵያ ውስጥ ፕሬስ ሴክሬታሪ በህይወት አለ? ሞቶ ከሆነ ግን ነብስ ይማር,ለመሆኑ ኢትዮጵያ ውስጥ ፕሬስ ሴክሬታሪ አለ ብሎ መናገር ይቻላል,ኢትዮጵያ ውስጥ ፕሬስ ሴክሬታሪ በህይወት አለ? ሞቶ ከሆነ ግን ነብስ ይማር,2.0
5,ለውሸት የተፈጠርክ በሽተኛ በዚህ ዓይነት ሰውን ማደናገር የማትችልበት ጊዜ ደርሰሃል ሁሉ ነገርህ አስመሳይ ውሸታም ከስምህ ጀምረህ ፎርጅድ የሆንክ,የምትናገረው የሚታመን ነገር አይደለም፤  በዚህ አይነት ነገር ሰው ሊቀበልህ የማይችልበት ደረጃ ደርሷል,በዚህ ዓይነት ሰውን ማደናገር የማትችልበት ጊዜ ደርሰሃል ሁሉ ነገርህ በጥሩ ሁኔታ እኮ የራቀ ነገር አይደለም,2.0
6,ሌባ እሁንም ነገር ለማባባስ አፋቸው ይከፍታሉ የደደብ ስራ ነው ይተናገረው እሱ ብሎ ደግም አሳፋሪ,አሁንም ነገርን ከማባባስ አልተቆጠቡም ፤ የማይጠበቅ ነገር ነው የተናገረው,እሁንም ነገር ለማባባስ አፋቸው ይከፍታሉ የደደብ ስራ ነው ይተናገረው እሱ ብሎ ደግም አሳፋሪ,2.0
7,ልደቱ እንኳን ታሰረ ነዉ የምለዉ ከዚህ በኋላ ንቅናቄ እና ግንባር አያስፈልግም via,ልደቱ  ወደ መረፊያ ቤት ተወሰደ:: ከዚህ በኋላ ንቅናቄ እና ግንባር አያስፈልግም ተብሎ,ለወቅቱ እንኳን መታሰረ ነዉ የምለዉ ከዚህ በኋላ ንቅናቄ እና ግንባር አያስፈልግም Via,2.0
8,መስሪያ ቤት ስለ ኔዮ ሊብራሊዝም ሰይጣንነት ስንት እንዳላስተማሩን ??,መስሪያ ቤት ስለ ኔዮ ሊብራሊዝም መጥፎነት ስንት እንዳላስተማሩን ??,የኔዮ ሊብራሊዝም ሰይጣንነት ስንት እንዳላስተማሩን ??,2.0
9,ማፈሪያ ነህ ከምግባራቸ ስለሚናገር ነዋ እንዳንተ አይነት ሰዎችን መፅሀፉም ስለሚል 4.,ምግባራቸው ስለሚናገር ነዋ ስለ እናንተ ደግሞ መፅሀፉም ስለሚል 4.,ለማፈሪያ ነህ ከምግባራቸ ስለሚናገር ነዋ እንዳንተ አይነት ሰዎችን መፅሀፉም ስለሚል,2.0
10,ምቀኛ፣ቡዳ ፣ሸርሙጣ፣ ሰፋሪ እሚባል እድፍ እሚወረወርብን የኛን ስነ ልቦና ለመዝረፍ ነው። እንኳን ዛሬ፡ በምድረ ቅጥረኛ ኮተት ጥንት ሙሶሊኒ በ,ይህ ሁሉ ስድብ  እሚወረወርብን የኛን ስነ ልቦና ለመዝረፍ ነው። እንኳን ዛሬ፡ ድሮም አልሰራ,ሙስሊኒ እሚባል እድፍ እሚወረወርብን የኛን ስነ ልቦና ለመዝረፍ ነው። እንኳን ዛሬ፡ በምድረ ቅጥረኛ ኮተት ጥንት ሙሶሊኒ በ,2.0
11,ምነው የሚሳሳት አፍህን ብትዘጋው ኖሮ ፡፡ ግን አልቻላችሁም ፣ አልቻላችሁም ፣ እናም አሁን ዋጋ ስትከፍሉ ነው ደደብ ደደብ። በአንተ ላይ ቁ,ምነው ወይ ዝም ብትል ፡፡ግን አልቻላችሁም ፤ በዚህም ዋጋ ልትከፍሉ ነው,ምንም የሚሳሳት አፍህን ብትዘጋው ኖሮ ፡፡ ግን አልቻላችሁም ፣ አልቻላችሁም ፣ እናም አሁን ዋጋ ስትከፍሉ ነው ፡፡ በአንተ ላይ ቁ,2.0
12,ምድረ ደነዝ ሁሉ ጭንቅላቱ ሲጠብ ጭንቅላት ያላቸውን ሰዎች መደብደብ ያው ዝቅተኛነታቸውን ያሳያል:: ይኸው ነው የነታከለ ኡማና ሽመልስ ማፊያ ማደራጀት::,መሰብ አይችሉም  ሰዎች መደብደብ ያው የበታችነት ስሜት እንደ ሚሰማቸው ያሳያል::,ምድረ ደነዝ ሁሉ ጭንቅላቱ ሲጠብ ጭንቅላት ያላቸውን ሰዎች መደብደብ ያው ዝቅተኛነታቸውን ያሳያል:: ይኸው ነው የነታከለ ኡማና ሽመልስ ማፊያ ማደራጀት::,2.0
13,ሰማ አንተ ደደብ ሰው መተከልን እንዳስጨረስክ አትቀርም ዋጋህን እሰጣሀለሁ,አንተ እማታስብ  መተከልን እንዲህ እንዳመስካት አትቀርም  ዋጋ ትከፍላለህ,መተከልን እንዳስጨረስክ አትቀርም ዋጋህን እሰጣሀለሁ,2.0
14,ሲፈርስ ለምን ማስቆም አልቻለም አላልኩም ግን ሀውልቱ ወደ ቦታው አለመመለሱ ግን የሱ ፍላጎት ነው . ሰሞኑንማ የጤና ያርግልህ ????,ሲፈርስ ለምን ማስቆም አልቻለም አላልኩም ግን ሀውልቱ ወደ ቦታው አለመመለሱ ግን የሱ ፍላጎት ነው,ስርአት ላይ ውጤት ካልተገኘሁ ግን የሱ ፍላጎት ነው . ሰሞኑንማ የጤና ያርግልህ ????,2.0
15,ሳዳምን ከአይጥ ጉድጓድ አውጥተው ካስፈረዱበት አንዱ ነኝ አንተንም አገኝሃለሁ አንተ ውሻ የውሻ ልጅ,ሳዳምን ከአይጥ ጉድጓድ አውጥተው ካስፈረዱበት አንዱ ነኝ የጊዜ ጉደይ ነው,ሳዳምን ከእስር መንፈስ ጋር ካስፈረዱበት አንዱ ነኝ አንተንም አገኝሃለሁ,2.0
16,ሺ መጋረጃዎችን ብትጠቀም እውነትን አቀብራትም። ውሻ።,ብዙ ምክንያቶችን ብታስቀምጥም እውነት እውነት ናት።,መጋረጃዎችን ብትጠቀም እውነትን አቀብራትም።,2.0
17,ቀበሌን ቀበሌ ቆማጣን ቆማጣ ስተለው ለምንድን ነው የሚከፋው?? ደሞ ከባድ የቀበሌ ዋጋ ምንድን ነው?? ዘይት መስረቅ ነው,ነገሮችን በስማቸው መጥራት ለምንድነው ቅሬታ የሚፈጥረው፤ ከባድ የሆነው የቀበሌ ዋጋስ ምንድነው ;,ቀበሌን ቀበሌ ቆማጣን ስተለው ለምንድን ነው የሚከፋው?? ደሞ ከባድ የቀበሌ ዋጋ ምንድን ነው?? ዘይት መስረቅ ነው,2.0
18,በሁለት ቀን ልዩነት የተለያየ ነገር መናገሩ ልያስገርመን አይገባም.ከመሀይምነቱ የተነሳ በአንድ አረፍተ ነገር ላይ ሁሉት ተቃራኒ ነገሮችን ይናገራ . ጌታቸው ረዳ በTMH,በሁለት ቀን ልዩነት የተለያየ ነገር መናገሩ ልያስገርመን አይገባም.ከለመወቁ የተነሳ በአንድ አረፍተ ነገር ላይ ሁሉት ተቃራኒ ነገሮችን ይናገራ,በሁለት ቀን ልዩነት የተለያየ ነገር መናገሩ ልያስገርመን አይገባም.ከመሀይምነቱ የተነሳ በአንድ አረፍተ ነገር ላይ ሁሉት ተቃራኒ ነገሮችን ይናገራ . ጌታቸው ረዳ በTMH,2.0
19,በመንጋዊ ስሜት ሆ  ማለት : ምን ይዞ እየመጣ እንደሆነ እያየነው ነው። ብቻ መጨረሻው ያሳምረው,በህብረት ና  በስሜት መውትጣት  : ምን ይዞ እየመጣ እንደሆነ እያየነው ነው። ብቻ መጨረሻው ያሳምረው,ምን ይዞ እየመጣ እንደሆነ እያየነው ነው። ብቻ መጨረሻው ያሳምረው,2.0
20,በኢትዮጵያን አባባል በጣም ደደብ እና ውሸታም ነህ።,በኢትዮጵያን አባባል መልካም ሰው አይደለኸም፡፡,በኢትዮጵያን አባባል በጣም ደደብ እና ውሸታም ነህ።,2.0
21,በዘራህዉ ልክ ማጨድህ አይቀርም የጊዜ ጉዳይ እንጅ,በጊዜ ሂደት ማንም ለሰራው በደል መልሱን ማግኘቱ አይቀርም,በዚህ ልክ ማጨድህ አይቀርም የጊዜ ጉዳይ እንጅ,2.0
22,ብሌን ይሄ ሰው የአማራ ፍፁም ጠላት እንደሆነ ብዙ መረጃ አለኝ። He is just useless የምትወጅው ከሆነ ይቅርታ። ፕሮፌሰር አስራት ወልደየስን ያስያዘ እሱ ነ,ብሌን ይሄ ሰው ለአማራ ህዝብ ብዙ የሚጠቅም ሀሳብ እንሌለው በመረጃ ጭምር መናገር እችላለሁ፡ ከይቅርታ ጋር,እሱ የአማራ ፍፁም ጠላት እንደሆነ ብዙ መረጃ አለኝ። He is just useless የምትወጅው ከሆነ ይቅርታ። ፕሮፌሰር አስራት ወልደየስን ያስያዘ እሱ ነ,2.0
